"dataset","yearPublished","format","language","type","district","isProtectedArea","done","note"
"Bárta, Z., 1986-87: Avifauna zámeckého parku v Krásném dvoøe (okr. Louny) v hnízdním období. Sborník Okresního muzea v Mostì. Øada pøírodovìdná 8-9.",1986,"literature","Czech","scientific publication","Ústeckı",TRUE,TRUE,"pdf-scan"
"Bejèek, V. & Tyrner, P., 1980: Primary succession and species diversity of avian communities on spoil banks after surface mining of lignite in the Most basin (north-western Bohemia). Folia Zoologica 29(1): 67-77.",1980,"literature","English","scientific publication","Ústeckı",FALSE,TRUE,"pdf-scan"
"Berec, M., 1993: Hnízdní spoleèenstva ptákù mìstského parku ve Vsetínì. Zpravodaj Okresního vlastivìdného muzea ve Vsetínì 1993: 42-45.",1993,"literature","Czech","scientific publication","Zlínskı",FALSE,TRUE,"pdf-scan"
"Berec, M.& Pavelka, J., 1993: Avifauna na území Vsetínské vodárny. Zpravodaj Okresního vlastivìdného muzea ve Vsetínì 1993: 50-52.",1993,"literature","Czech","scientific publication","Zlínskı",FALSE,TRUE,"pdf-scan"
"Bureš, S. & Maton, K., 1984-85: Ptaèí sloka segmentu skupiny typù geobiocénù ulmifraxinenta populi v navrhované CHKO Pomoraví. Sylvia 23-24: 37-46.",1984,"literature","Czech","scientific publication","Olomouckı",TRUE,TRUE,"pdf-scan"
"BÜRGER P., KLOUBEC B. (1991) Ornitologickı inventarizaèní prùzkum v NPR ofínskı prales. ÈÚOP Èeské Budìjovice, 1991",1991,"AOPK-data","Czech","inventory research","Jihoèeskı",TRUE,TRUE,"pdf-scan"
"Bürger, P. & Kloubec, B., 1996: Hnízdní avifauna bukovıch porostù pøírodní rezervace Libochovka a vrchu Hradce. Sbor.Jihoèes.Muz. V Èes. Budìjovicích, Pøírodní vìdy 36: 73-84.",1996,"literature","Czech","scientific publication","Jihoèeskı",TRUE,TRUE,"pdf-scan"
"Francová, P., 1990: Sezonní zmìny avifauny v údolí Zlatého potoka v eleznıch horách. Panurus 2: 41-49.",1990,"literature","Czech","scientific publication","Pardubickı",TRUE,TRUE,"pdf-scan"
"Hanák, F.,1996: Hnízdní ornitocenozy zámeckého parku v Budišovì u Tøebíèe. Zprávy MOS 54: 6-21",1996,"literature","Czech","scientific publication","Vysoèina",FALSE,TRUE,"pdf-scan"
"Hlaváè, V.& Høíbek M., 1985: Kvantitativní a kvalitativní sloení avifauny lokality ""Úvalenské louky"" u Opavy. Èas.Slez.Muz.Opava (A), 34: 257-268.",1985,"literature","Czech","scientific publication","Moravskoslezkı",TRUE,TRUE,"pdf-scan"
"Honza, M., 1992: Quantitative analysis of a nesting ird community in a park at Jablunkov. Folia Zool. Brno, 41 (1): 29-44.",1992,"literature","English","scientific publication","Moravskoslezkı",FALSE,TRUE,"pdf-scan"
"Hudec, K., 1975: The bird Synusia of the ""Kobylské jezero"" Reed Swamp (Southern Moravia) During the Breeding Season. Zoologické listy 24 (1): 65-80.",1975,"literature","English","scientific publication","Jihomoravskı",TRUE,TRUE,"pdf-scan"
"Vlèek,1976-vertebr.ÈeskéStøedoh.pdf",1976,"literature","Czech","scientific publication","Ústeckı",TRUE,FALSE,"pdf-scan"
"Øepa,1986-ptaèí synuzie-parky.pdf",1986,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf-scan"
"Doupal&Hajnı,2007-spol.ptákù-øeka Moravice-Jeseníky.pdf",2007,"literature","Czech","scientific publication","Olomouckı",FALSE,FALSE,"pdf"
"Foit, 2013-ebraèka-Aves-IP",2013,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf"
"Køenek D.,2006-IP Èeròavina.pdf",2006,"AOPK-data","Czech","inventory research","Moravskoslezkı",TRUE,FALSE,"pdf-scan"
"Poprach&Vrbková,2014-monitoring-transekty-Litovel.Pomoraví.pdf",2014,"literature","Czech","scientific publication","Olomouckı",TRUE,FALSE,"pdf"
"PECL K.1975-invent.ornito.prùz.SPR Øeabinec u Raic.pdf",1975,"AOPK-data","Czech","inventory research","Jihoèeskı",TRUE,FALSE,"pdf-scan"
"Klimeš, Z., 1994: Ptaèí spoleèenstva vybranıch zámeckıch parkù v jihozápadních Èechách. Sylvia 30: 22-31.",1994,"literature","Czech","scientific publication","Jihoèeskı",FALSE,FALSE,"pdf-scan"
